generated_rd,target_fecha,target_hora,signal_key,edge_label,alert_level,best_score,best_lift,best_mi,best_chi2,rows_used,support,top3,top12,top_pairs,notified,fingerprint
2026-03-31 09:18:52,2026-03-31,10AM,2026-03-31|Anguilla|10AM,EDGE FUERTE,HIGH,0.61328,2.123288,0.000808,6.308078,5301,1427,22|78|61,22|78|61|54|89|02|90|43|47|58|53|92,22-78|22-61|22-54,1,8cd3dd3ce387d2120d713e63aeee726d
2026-03-31 21:09:46,2026-03-31,10PM,2026-03-31|Anguilla|10PM,EDGE ELITE,HIGH,1.158384,2.229968,0.000564,7.934757,5313,1440,32|56|81,32|56|81|27|09|94|03|59|79|23|71|40,,1,ee6e1e6783145fad05df1d41f10a9d64
2026-03-31 10:46:58,2026-03-31,11AM,2026-03-31|Anguilla|11AM,EDGE FUERTE,HIGH,0.642943,2.443523,0.00087,9.947634,5302,1426,81|61|94,81|61|94|27|34|12|71|83|90|65|10|89,81-27|81-61|81-34,0,5a5c7803dd2b10fa8562b8f84f034e06
2026-03-31 11:54:43,2026-03-31,12PM,2026-03-31|Anguilla|12PM,EDGE FUERTE,HIGH,0.67802,2.079311,0.000942,6.567742,5303,1419,47|24|36,47|24|36|33|16|95|46|78|08|37|15|74,47-24|24-36|47-36,0,4bdd0cc41039b774b3f312808cce5bb5
2026-03-31 12:58:31,2026-03-31,1PM,2026-03-31|Anguilla|1PM,EDGE FUERTE,HIGH,0.655395,1.880555,0.000299,3.939717,5304,1382,50|03|84,50|03|84|47|17|81|53|74|00|21|89|55,50-84|50-03|03-17,0,f82f11dde272ad77fc1df24aae1b32c3
2026-03-31 13:34:29,2026-03-31,2PM,2026-03-31|Anguilla|2PM,EDGE FUERTE,HIGH,0.722531,2.023522,0.000364,4.936788,5305,1363,37|58|98,37|58|98|53|00|77|01|11|45|22|62|23,37-58|37-98|37-00,1,572687359aa66207d579314c79405de3
2026-03-31 14:22:59,2026-03-31,3PM,2026-03-31|Anguilla|3PM,EDGE FUERTE,HIGH,0.785785,2.094749,0.000378,5.155152,5306,1348,38|53|23,38|53|23|69|04|85|55|89|74|77|73|35,38-85|38-53|38-23,1,3e551db7d10e50348ecc96b6d2fcb849
2026-03-31 15:15:33,2026-03-31,4PM,2026-03-31|Anguilla|4PM,EDGE FUERTE,HIGH,0.691574,2.337474,0.000565,8.107215,5307,1335,48|38|41,48|38|41|62|60|82|09|39|02|85|91|58,48-41|38-41|48-38,0,c1278e815fc8490f82b18a938db7635f
2026-03-31 16:56:18,2026-03-31,5PM,2026-03-31|Anguilla|5PM,EDGE FUERTE,HIGH,0.687064,2.409223,0.0006,8.716512,5308,1344,32|66|12,32|66|12|93|16|25|11|30|57|94|06|14,32-66|66-11|32-93,0,aa234cf216e6690cc5f3b1ec437a8564
2026-03-31 17:42:17,2026-03-31,6PM,2026-03-31|Anguilla|6PM,EDGE FUERTE,HIGH,0.82134,2.119361,0.000502,6.926246,5309,1388,56|15|66,56|15|66|13|50|22|42|10|83|24|43|36,56-15|56-22|56-13,0,072e5c10389681073432d916c28ef833
2026-03-31 18:59:29,2026-03-31,7PM,2026-03-31|Anguilla|7PM,EDGE FUERTE,HIGH,0.770088,2.282443,0.000593,8.414543,5310,1426,39|47|67,39|47|67|08|46|34|53|06|87|83|60|36,39-47|39-67|39-08,0,70403c147d43868309f77b0583f2937f
2026-03-31 07:50:44,2026-03-31,8AM,2026-03-31|Anguilla|8AM,EDGE FUERTE,HIGH,0.805234,2.235351,0.000568,7.985501,5299,1442,87|23|75,87|23|75|53|07|86|84|89|95|19|35|03,87-23|87-75|87-53,0,34c8a95dd5cc30657cfd668061d1a4fc
2026-03-31 19:43:23,2026-03-31,8PM,2026-03-31|Anguilla|8PM,EDGE ELITE,HIGH,1.059618,3.069942,0.001392,22.261092,5311,1456,02|07|80,02|07|80|57|33|42|86|38|56|77|82|60,,0,290e242fe63c84cb52c45c5cf0273a8a
2026-03-31 08:09:17,2026-03-31,9AM,2026-03-31|Anguilla|9AM,EDGE FUERTE,HIGH,1.033346,2.574179,0.000753,11.212499,5300,1428,71|23|04,71|23|04|94|74|89|39|81|90|87|02|00,71-04|71-23|71-74,1,d1186be809d07e7f1047479a36edf6ee
